SUBJECT,PREDICATE,OBJECT,,
#Persons,,,,
:ID01,a,:Student,,
:ID02,a,:Student,,
:ID03,a,:Student,,
:ID04,a,:Student,,
:ID05,a,:Student,,
:ID06,a,:Student,,
:ID07,a,:Student,,
:ID08,a,:Student,,
:ID09,a,:Student,,
:ID10,a,:Student,,
:ID13 ,a,:Instructor,,
#Stations,,,,
:LabStation1 ,a,:Station,,
:LabStation1 ,:hasStationNum,"""1""^^xsd:integer",,
:LabStation2 ,a,:Station,,
:LabStation2 ,:hasStationNum,"""2""^^xsd:integer",,
:LabStation3,a,:Station,,
:LabStation3,:hasStationNum,"""3""^^xsd:integer",,
:LabStation4 ,a,:Station,,
:LabStation4 ,:hasStationNum,"""4""^^xsd:integer",,
:LabStation5,a,:Station,,
:LabStation5 ,:hasStationNum,"""5""^^xsd:integer",,
:Podium ,a,:Station,,
:Podium ,:hasStationNum,"""0""^^xsd:integer",,
#Groups,,,,
:Group1,a,:ActivityGroup,,
:Group1,:hasGroupNumber,"""1""^^xsd:integer",,
:Group1,:hasMember,:ID01,,
:Group1,:hasMember,:ID02,,
:Group1,:hasAssignedStation,:LabStation1,,
:Group2,a,:ActivityGroup,,
:Group2,:hasGroupNumber,"""2""^^xsd:integer",,
:Group2,:hasMember,:ID03,,
:Group2,:hasMember,:ID04,,
:Group2,:hasAssignedStation,:LabStation2,,
:Group3,a,:ActivityGroup,,
:Group3,:hasGroupNumber,"""3""^^xsd:integer",,
:Group3,:hasMember,:ID05,,
:Group3,:hasMember,:ID06,,
:Group3,:hasAssignedStation,:LabStation3,,
:Group4,a,:ActivityGroup,,
:Group4,:hasGroupNumber,"""4""^^xsd:integer",,
:Group4,:hasMember,:ID07,,
:Group4,:hasMember,:ID08,,
:Group4,:hasAssignedStation,:LabStation4,,
:Group5,a,:ActivityGroup,,
:Group5,:hasGroupNumber,"""5""^^xsd:integer",,
:Group5,:hasMember,:ID09,,
:Group5,:hasMember,:ID10,,
:Group5,:hasAssignedStation,:LabStation5,,
#Prompts,,,,
:PutOnWristBand ,a,:InstructorPrompt,,
:UseMat ,a,:InstructorPrompt,,
:TurnOffCircuit,a,:InstructorPrompt,,
#Items,,,,
:AntistaticMat,a,:Item,,
:AntistaticBand,a,:Item,,
#CircuitQuantity,,,,
:Current,a,:CircuitQuantity,,
:Current,:hasUnit,"""milliamps""^^xsd:string",,
:Voltage,a,:CircuitQuantity,,
:Voltage,:hasUnit,"""volts""^^xsd:string",,
#ClassActivity,,,,
:Lab1,a,:CourseActivity,,
:Lab1,:hasClassActivityDesc,"""Lab 1 course activity""^^xsd:string",,
:Lab1,:scheduledOn,:TI_0,,
:TI_0,a,:TimeInterval,,
:TI_0,:hasStartTime,"""1647032400""^^xsd:integer",,"#""2022-03-11T15:00:00Z""^^xsd:dateTimeStamp ;"
:TI_0,:hasStopTime,"""1647039600""^^xsd:integer",,"#""2022-03-11T17:00:00Z""^^xsd:dateTimeStamp ."
#ReportFields,,,,
:ReportField1 ,a,:ReportField,,
:ReportField1 ,:reportOf,:Lab1,,
:ReportField1 ,:reportsCircuitQuantity,:Current,,
:ReportField2,a,:ReportField,,
:ReportField2,:reportOf,:Lab1,,
:ReportField2,:reportsCircuitQuantity,:Current,,
:ReportField3,a,:ReportField,,
:ReportField3,:reportOf,:Lab1,,
:ReportField3,:reportsCircuitQuantity,:Current,,
:ReportField4,a,:ReportField,,
:ReportField4,:reportOf,:Lab1,,
:ReportField4,:reportsCircuitQuantity,:Voltage,,
### SCENARIOS FOR TESTING PI A: DOES NOT MAKE UP DATA (ETHICS) ###,,,,
###Group 4: ID07 and ID08; assigned to LabStation4,,,,
"###For testing scenarios, set maxpdiff = 5 (percent); maxtwin=100 (seconds)",,,,
"###Cases to test: a1. pdiff and twin OK; a2. good value but not within twin; a3. has measured value within twin but too large pdiff; a4. multiple measurements within twin, one is within pdiff while others are not; a5. too large pdiff and all outside twin; a6. has measured value that meets requirements but type of data don't match (i.e. voltage vs. current)",,,,
"###Scenario a2 NOK - have a valid measured value within pdiff, but tdiff > maxtwin",,,,
#ID07 turns on circuit power,,,,
:A31,a,:TurningOnCircuitPower,,
:A31,:occurredAt,:LabStation4,,
:A31,:activityWithin,:Lab1,,
:A31,:performedAt,"""1647033233""^^xsd:integer",,"#""2022-03-11T15:13:53Z""^^xsd:dateTimeStamp ;"
:A31,:performedBy,:ID07,,
#ID08 (reported value: 2.5 mA) measures current value 2.5 mA; pdiff=0; tdiff=131,,,,
:A32 ,a,:MeasuringCircuitQuantity,,
:A32 ,:activityWithin,:Lab1,,
:A32 ,:occurredAt,:LabStation4,,
:A32 ,:getsMeasuredValue,"""2.5""^^xsd:double",,
:A32 ,:performedAt,"""1647033306""^^xsd:integer",,"#""2022-03-11T15:15:06Z""^^xsd:dateTimeStamp ;"
:A32 ,:measuresQuantity,:Current,,
:A32 ,:performedBy,:ID08,,
"#ID07 reports measured data, current, 2.5 mA",,,,
:A35,a,:ReportingData,,
:A35,:activityWithin,:Lab1,,
:A35,:occurredAt,:LabStation4,,
:A35,:updatesField,:ReportField1,,
:A35,:reportsFieldValue,"""2.5""^^xsd:double",,
:A35,:performedAt,"""1647033437""^^xsd:integer",,"#""2022-03-11T15:17:17Z""^^xsd:dateTime ;"
:A35,:performedBy,:ID07,,
###Scenario a1 OK - have a valid measured value for pdiff and tdiff,,,,
#ID08 measures 3 mA; pdiff=0; tdiff=5,,,,
:A36,a,:MeasuringCircuitQuantity,,
:A36,:activityWithin,:Lab1,,
:A36,:occurredAt,:LabStation4,,
:A36,:getsMeasuredValue,"""3""^^xsd:double",,
